algo,calibrated_on,evaluated_on,N_pos,N_neg,accuracy,precision,recall_TPR,specificity_TNR,F1,FAR_FPR,FRR,balanced_accuracy,roc_auc,eer,tau_star
Swin/ViT (verification),val,test,2570,2570,0.6663424124513618,0.6646130150173277,0.6715953307392996,0.6610894941634241,0.6680859299400038,0.3389105058365759,0.3284046692607004,0.6663424124513618,0.7163687565292435,0.3309178743961352,0.6009408831596375
Swin/ViT (verification),val,test,2570,2570,0.9377431906614786,0.936046511627907,0.9396887159533074,0.9357976653696498,0.9378640776699029,0.06420233463035019,0.06031128404669261,0.9377431906614786,0.9781309330951263,0.07632850241545895,0.10396736860275269
